,gbifID,identifier,species,genus,family,class,phylum,file_name
1810,1229953159,http://www.tierstimmenarchiv.de/recordings/Crax_alector_Lue0068_01_short.mp3,Crax alector,Crax,Cracidae,Aves,Chordata,Chordata/Aves/Cracidae/Crax/Crax_alector/1229953159.mp3
9911,779858664,http://www.tierstimmenarchiv.de/recordings/Locustella_naevia_V1311c_05_short.mp3,Locustella naevia,Locustella,Locustellidae,Aves,Chordata,Chordata/Aves/Locustellidae/Locustella/Locustella_naevia/779858664.mp3
4007,1052811569,http://www.tierstimmenarchiv.de/recordings/Passer_domesticus_Tre_N0092_01_short.mp3,Passer domesticus,Passer,Passeridae,Aves,Chordata,Chordata/Aves/Passeridae/Passer/Passer_domesticus/1052811569.mp3
1848,1229953117,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_18_short.mp3,Corvus corax,Corvus,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Corvus/Corvus_corax/1229953117.mp3
14078,779848872,http://www.tierstimmenarchiv.de/recordings/Canis_lupus_f_familiaris_V2071_23_short.mp3,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848872.mp3
3529,1062495320,http://www.tierstimmenarchiv.de/recordings/Calandrella_brachydactyla_Kr0010_06_short.mp3,Calandrella brachydactyla,Calandrella,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Calandrella/Calandrella_brachydactyla/1062495320.mp3
5229,893489891,http://www.tierstimmenarchiv.de/recordings/Phalaropus_fulicarius_DIG0162_09_short.mp3,Phalaropus fulicarius,Phalaropus,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Phalaropus/Phalaropus_fulicarius/893489891.mp3
12399,779853280,http://www.tierstimmenarchiv.de/recordings/Elephas_maximus_S1363_02_short.mp3,Elephas maximus,Elephas,Elephantidae,Mammalia,Chordata,Chordata/Mammalia/Elephantidae/Elephas/Elephas_maximus/779853280.mp3
7506,779864535,http://www.tierstimmenarchiv.de/recordings/Pongo_pygmaeus_S0997_01_short.mp3,Pongo pygmaeus,Pongo,Hominidae,Mammalia,Chordata,Chordata/Mammalia/Hominidae/Pongo/Pongo_pygmaeus/779864535.mp3
6650,779866964,http://www.tierstimmenarchiv.de/recordings/Sylvia_atricapilla_DIG0007_23_short.mp3,Sylvia atricapilla,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_atricapilla/779866964.mp3
3724,1052813717,http://www.tierstimmenarchiv.de/recordings/Turdus_merula_Tre_N0162_01_short.mp3,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1052813717.mp3
6761,779866801,http://www.tierstimmenarchiv.de/recordings/Sturnus_vulgaris_D0022_09_short.mp3,Sturnus vulgaris,Sturnus,Sturnidae,Aves,Chordata,Chordata/Aves/Sturnidae/Sturnus/Sturnus_vulgaris/779866801.mp3
10200,779857873,http://www.tierstimmenarchiv.de/recordings/Hylochoerus_meinertzhageni_Band1_Cut33_short.mp3,Hylochoerus meinertzhageni,Hylochoerus,Suidae,Mammalia,Chordata,Chordata/Mammalia/Suidae/Hylochoerus/Hylochoerus_meinertzhageni/779857873.mp3
12233,779853478,http://www.tierstimmenarchiv.de/recordings/Emberiza_citrinella_DIG0068_11_short.mp3,Emberiza citrinella,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_citrinella/779853478.mp3
4334,1052807384,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_Tre_N0059_09_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/1052807384.mp3
5877,779868967,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_Tre_P0044_01_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/779868967.mp3
2943,1143514654,http://www.tierstimmenarchiv.de/recordings/Columba_trocaz_Lue0054_02_short.mp3,Columba trocaz,Columba,Columbidae,Aves,Chordata,Chordata/Aves/Columbidae/Columba/Columba_trocaz/1143514654.mp3
5852,779868994,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_V1740_08_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/779868994.mp3
15482,779845527,http://www.tierstimmenarchiv.de/recordings/Anas_strepera_CoMC0011_21_short.mp3,Anas strepera,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_strepera/779845527.mp3
2942,1143514655,http://www.tierstimmenarchiv.de/recordings/Columba_livia_f_domestica_Lue0054_06_short.mp3,Columba livia,Columba,Columbidae,Aves,Chordata,Chordata/Aves/Columbidae/Columba/Columba_livia/1143514655.mp3
8825,779861582,http://www.tierstimmenarchiv.de/recordings/Panthera_pardus_V1754_08_short.mp3,Panthera pardus,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_pardus/779861582.mp3
7054,779865673,http://www.tierstimmenarchiv.de/recordings/Remiz_pendulinus_DIG0069_02_short.mp3,Remiz pendulinus,Remiz,Remizidae,Aves,Chordata,Chordata/Aves/Remizidae/Remiz/Remiz_pendulinus/779865673.mp3
1582,1229953775,http://www.tierstimmenarchiv.de/recordings/Melanerpes_flavifrons_Lue0073_01_short.mp3,Melanerpes flavifrons,Melanerpes,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Melanerpes/Melanerpes_flavifrons/1229953775.mp3
9869,779858759,http://www.tierstimmenarchiv.de/recordings/Parus_cristatus_V1746_07_short.mp3,Lophophanes cristatus,Lophophanes,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Lophophanes/Lophophanes_cristatus/779858759.mp3
4540,1052804084,http://www.tierstimmenarchiv.de/recordings/Chloris_chloris_Tre_N0062_10_short.mp3,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/1052804084.mp3
7172,779865224,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_PF02828_short.mp3,Rallus aquaticus,Rallus,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Rallus/Rallus_aquaticus/779865224.mp3
2876,1143514913,http://www.tierstimmenarchiv.de/recordings/Geoffroyus_geoffroyi_Lue0055_01_short.mp3,Geoffroyus geoffroyi,Geoffroyus,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Geoffroyus/Geoffroyus_geoffroyi/1143514913.mp3
3659,1052813782,http://www.tierstimmenarchiv.de/recordings/Turdus_merula_Tre_N0094_04_short.mp3,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1052813782.mp3
12447,779853052,http://www.tierstimmenarchiv.de/recordings/Dryocopus_martius_M0007_15_short.mp3,Dryocopus martius,Dryocopus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dryocopus/Dryocopus_martius/779853052.mp3
8306,779863074,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_bonelli_CoMC0024_16_short.mp3,Phylloscopus bonelli,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_bonelli/779863074.mp3
13939,779849065,http://www.tierstimmenarchiv.de/recordings/Caracal_caracal_S0402_02_short.mp3,Caracal caracal,Caracal,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Caracal/Caracal_caracal/779849065.mp3
8715,779862154,http://www.tierstimmenarchiv.de/recordings/Parus_major_Co0015_02_short.mp3,Parus major,Parus,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Parus/Parus_major/779862154.mp3
3234,1142103257,http://www.tierstimmenarchiv.de/recordings/Ardeotis_kori_Lue0043_01_short.mp3,Ardeotis kori,Ardeotis,Otididae,Aves,Chordata,Chordata/Aves/Otididae/Ardeotis/Ardeotis_kori/1142103257.mp3
14109,779848838,http://www.tierstimmenarchiv.de/recordings/Canis_lupus_f_dingo_S0831_02_short.mp3,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848838.mp3
882,1249268931,http://www.tierstimmenarchiv.de/recordings/Emberiza_citrinella_Lue0087_03_short.mp3,Emberiza citrinella,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_citrinella/1249268931.mp3
5914,779868930,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_AuMC0183_27_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/779868930.mp3
4281,1052807437,http://www.tierstimmenarchiv.de/recordings/Fringilla_coelebs_Tre_N0067_08_short.mp3,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/1052807437.mp3
482,1249269479,http://www.tierstimmenarchiv.de/recordings/Turdus_merula_Bru_DAT0022_17_short.mp3,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1249269479.mp3
7198,779865184,http://www.tierstimmenarchiv.de/recordings/Pyrrhocorax_pyrrhocorax_V2075_29_short.mp3,Pyrrhocorax pyrrhocorax,Pyrrhocorax,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Pyrrhocorax/Pyrrhocorax_pyrrhocorax/779865184.mp3
10738,779856267,http://www.tierstimmenarchiv.de/recordings/Fulica_atra_V2121_23_short.mp3,Fulica atra,Fulica,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Fulica/Fulica_atra/779856267.mp3
3594,1052813847,http://www.tierstimmenarchiv.de/recordings/Turdus_philomelos_Tre_N0134_06_short.mp3,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1052813847.mp3
12160,779853622,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_CoMC0018_07_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853622.mp3
14387,779847489,http://www.tierstimmenarchiv.de/recordings/Buceros_bicornis_DIG0144_11_short.mp3,Buceros bicornis,Buceros,Bucerotidae,Aves,Chordata,Chordata/Aves/Bucerotidae/Buceros/Buceros_bicornis/779847489.mp3
9234,779860364,http://www.tierstimmenarchiv.de/recordings/Nucifraga_caryocatactes_Co0093_02_short.mp3,Nucifraga caryocatactes,Nucifraga,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Nucifraga/Nucifraga_caryocatactes/779860364.mp3
334,1269848125,http://www.tierstimmenarchiv.de/recordings/Cuculus_canorus_DIG0176_83_short.mp3,Cuculus canorus,Cuculus,Cuculidae,Aves,Chordata,Chordata/Aves/Cuculidae/Cuculus/Cuculus_canorus/1269848125.mp3
13365,779850120,http://www.tierstimmenarchiv.de/recordings/Carduelis_chloris_V1818_17_short.mp3,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/779850120.mp3
2226,1229651838,http://www.tierstimmenarchiv.de/recordings/Falco_tinnunculus_Lue0059_03_short.mp3,Falco tinnunculus,Falco,Falconidae,Aves,Chordata,Chordata/Aves/Falconidae/Falco/Falco_tinnunculus/1229651838.mp3
4682,991952319,http://www.tierstimmenarchiv.de/recordings/Turdus_merula_Tre_N0019_01_short.mp3,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/991952319.mp3
7453,779864589,http://www.tierstimmenarchiv.de/recordings/Porzana_porzana_DIG0100_14_short.mp3,Porzana porzana,Porzana,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Porzana/Porzana_porzana/779864589.mp3
7825,779863904,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_trochilus_DIG0069_09_short.mp3,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863904.mp3
10646,779856391,http://www.tierstimmenarchiv.de/recordings/Gallinago_gallinago_V1494_15_short.mp3,Gallinago gallinago,Gallinago,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Gallinago/Gallinago_gallinago/779856391.mp3
13443,779850004,http://www.tierstimmenarchiv.de/recordings/Carduelis_chloris_PF00705_short.mp3,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/779850004.mp3
269,1269848190,http://www.tierstimmenarchiv.de/recordings/Sterna_paradisaea_Kr0091_07_short.mp3,Sterna paradisaea,Sterna,Laridae,Aves,Chordata,Chordata/Aves/Laridae/Sterna/Sterna_paradisaea/1269848190.mp3
11866,779853922,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0042_02_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853922.mp3
2386,1228009828,http://www.tierstimmenarchiv.de/recordings/Chalcopsitta_cardinalis_Lue0056_01_short.mp3,Chalcopsitta cardinalis,Chalcopsitta,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Chalcopsitta/Chalcopsitta_cardinalis/1228009828.mp3
12891,779851770,http://www.tierstimmenarchiv.de/recordings/Creatophora_cinerea_V2112_04_short.mp3,Creatophora cinerea,Creatophora,Sturnidae,Aves,Chordata,Chordata/Aves/Sturnidae/Creatophora/Creatophora_cinerea/779851770.mp3
2727,1143515304,http://www.tierstimmenarchiv.de/recordings/Picus_viridis_Kr0072_04_short.mp3,Picus viridis,Picus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Picus/Picus_viridis/1143515304.mp3
10382,779857231,http://www.tierstimmenarchiv.de/recordings/Haliaeetus_leucocephalus_V2123_11_short.mp3,Haliaeetus leucocephalus,Haliaeetus,Accipitridae,Aves,Chordata,Chordata/Aves/Accipitridae/Haliaeetus/Haliaeetus_leucocephalus/779857231.mp3
10304,779857505,http://www.tierstimmenarchiv.de/recordings/Hippolais_icterina_Tre_E0001_01_short.mp3,Hippolais icterina,Hippolais,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Hippolais/Hippolais_icterina/779857505.mp3
11406,779854881,http://www.tierstimmenarchiv.de/recordings/Ficedula_hypoleuca_Co0014_12_short.mp3,Ficedula hypoleuca,Ficedula,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Ficedula/Ficedula_hypoleuca/779854881.mp3
7722,779864090,http://www.tierstimmenarchiv.de/recordings/Picus_viridis_Co0069_03_short.mp3,Picus viridis,Picus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Picus/Picus_viridis/779864090.mp3
8843,779861490,http://www.tierstimmenarchiv.de/recordings/Panthera_pardus_S0604_01_short.mp3,Panthera pardus,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_pardus/779861490.mp3
5670,779869349,http://www.tierstimmenarchiv.de/recordings/Alopex_lagopus_DIG0023_06_short.mp3,Vulpes lagopus,Vulpes,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Vulpes/Vulpes_lagopus/779869349.mp3
14800,779846652,http://www.tierstimmenarchiv.de/recordings/Arctictis_binturong_S0898_01_short.mp3,Arctictis binturong,Arctictis,Viverridae,Mammalia,Chordata,Chordata/Mammalia/Viverridae/Arctictis/Arctictis_binturong/779846652.mp3
15452,779845576,http://www.tierstimmenarchiv.de/recordings/Anser_anser_PF00239_short.mp3,Anser anser,Anser,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anser/Anser_anser/779845576.mp3
8890,779861297,http://www.tierstimmenarchiv.de/recordings/Panthera_leo_V2121_14_short.mp3,Panthera leo,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_leo/779861297.mp3
9541,779859476,http://www.tierstimmenarchiv.de/recordings/Marmota_bobak_V1672_40_short.mp3,Marmota bobak,Marmota,Sciuridae,Mammalia,Chordata,Chordata/Mammalia/Sciuridae/Marmota/Marmota_bobak/779859476.mp3
8500,779862714,http://www.tierstimmenarchiv.de/recordings/Phoenicoparrus_andinus_V2087_01_short.mp3,Phoenicoparrus andinus,Phoenicoparrus,Phoenicopteridae,Aves,Chordata,Chordata/Aves/Phoenicopteridae/Phoenicoparrus/Phoenicoparrus_andinus/779862714.mp3
4156,1052811417,http://www.tierstimmenarchiv.de/recordings/Parus_major_Tre_N0155_01_short.mp3,Parus major,Parus,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Parus/Parus_major/1052811417.mp3
2431,1143570929,http://www.tierstimmenarchiv.de/recordings/Vanellus_vanellus_Lue0048_04_short.mp3,Vanellus vanellus,Vanellus,Charadriidae,Aves,Chordata,Chordata/Aves/Charadriidae/Vanellus/Vanellus_vanellus/1143570929.mp3
1133,1230245111,http://www.tierstimmenarchiv.de/recordings/Melidectes_belfordi_Lue0081_01_short.mp3,Melidectes belfordi,Melidectes,Meliphagidae,Aves,Chordata,Chordata/Aves/Meliphagidae/Melidectes/Melidectes_belfordi/1230245111.mp3
347,1269848112,http://www.tierstimmenarchiv.de/recordings/Clangula_hyemalis_Kr0097_01_short.mp3,Clangula hyemalis,Clangula,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Clangula/Clangula_hyemalis/1269848112.mp3
3292,1132421054,http://www.tierstimmenarchiv.de/recordings/Iduna_pallida_DIG0191_12_short.mp3,Iduna pallida,Iduna,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Iduna/Iduna_pallida/1132421054.mp3
12008,779853774,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0150_01_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853774.mp3
14611,779846944,http://www.tierstimmenarchiv.de/recordings/Balearica_regulorum_V2053_01_short.mp3,Balearica regulorum,Balearica,Gruidae,Aves,Chordata,Chordata/Aves/Gruidae/Balearica/Balearica_regulorum/779846944.mp3
3903,1052812304,http://www.tierstimmenarchiv.de/recordings/Prunella_modularis_Tre_N0031_02_short.mp3,Prunella modularis,Prunella,Prunellidae,Aves,Chordata,Chordata/Aves/Prunellidae/Prunella/Prunella_modularis/1052812304.mp3
6922,779866121,http://www.tierstimmenarchiv.de/recordings/Sitta_europaea_DIG0118_05_short.mp3,Sitta europaea,Sitta,Sittidae,Aves,Chordata,Chordata/Aves/Sittidae/Sitta/Sitta_europaea/779866121.mp3
14606,779846949,http://www.tierstimmenarchiv.de/recordings/Balearica_regulorum_V2053_04_short.mp3,Balearica regulorum,Balearica,Gruidae,Aves,Chordata,Chordata/Aves/Gruidae/Balearica/Balearica_regulorum/779846949.mp3
6471,779867399,http://www.tierstimmenarchiv.de/recordings/Sylvia_nisoria_DIG0149_07_short.mp3,Sylvia nisoria,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_nisoria/779867399.mp3
9800,779858925,http://www.tierstimmenarchiv.de/recordings/Lullula_arborea_Co0014_05_short.mp3,Lullula arborea,Lullula,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Lullula/Lullula_arborea/779858925.mp3
2960,1143514632,http://www.tierstimmenarchiv.de/recordings/Charadrius_tricollaris_Lue0048_03_short.mp3,Charadrius tricollaris,Charadrius,Charadriidae,Aves,Chordata,Chordata/Aves/Charadriidae/Charadrius/Charadrius_tricollaris/1143514632.mp3
6583,779867116,http://www.tierstimmenarchiv.de/recordings/Sylvia_borin_DIG0051_05_short.mp3,Sylvia borin,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_borin/779867116.mp3
2016,1229950840,http://www.tierstimmenarchiv.de/recordings/Argusianus_argus_Lue0066_03_short.mp3,Argusianus argus,Argusianus,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Argusianus/Argusianus_argus/1229950840.mp3
15947,779844644,http://www.tierstimmenarchiv.de/recordings/Acrocephalus_schoenobaenus_Tre_P0097_01_short.mp3,Acrocephalus schoenobaenus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_schoenobaenus/779844644.mp3
9048,779860870,http://www.tierstimmenarchiv.de/recordings/Otus_scops_DIG0153_10_short.mp3,Otus scops,Otus,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Otus/Otus_scops/779860870.mp3
4658,991952347,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Kr0001_22_short.mp3,Turdus viscivorus,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_viscivorus/991952347.mp3
13196,779850954,http://www.tierstimmenarchiv.de/recordings/Ciconia_episcopus_V2077_22_short.mp3,Ciconia episcopus,Ciconia,Ciconiidae,Aves,Chordata,Chordata/Aves/Ciconiidae/Ciconia/Ciconia_episcopus/779850954.mp3
6685,779866928,http://www.tierstimmenarchiv.de/recordings/Sylvia_atricapilla_CoMC0037_01_short.mp3,Sylvia atricapilla,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_atricapilla/779866928.mp3
6462,779867415,http://www.tierstimmenarchiv.de/recordings/Syncerus_caffer_S1331_03_short.mp3,Syncerus caffer,Syncerus,Bovidae,Mammalia,Chordata,Chordata/Mammalia/Bovidae/Syncerus/Syncerus_caffer/779867415.mp3
1996,1229950864,http://www.tierstimmenarchiv.de/recordings/Branta_sandvicensis_Lue0064_04_short.mp3,Branta sandvicensis,Branta,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Branta/Branta_sandvicensis/1229950864.mp3
2344,1228009938,http://www.tierstimmenarchiv.de/recordings/Lorius_lory_Lue0056_01_short.mp3,Lorius lory,Lorius,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Lorius/Lorius_lory/1228009938.mp3
13994,779848993,http://www.tierstimmenarchiv.de/recordings/Capreolus_capreolus_DIG_0065_06_short.mp3,Capreolus capreolus,Capreolus,Cervidae,Mammalia,Chordata,Chordata/Mammalia/Cervidae/Capreolus/Capreolus_capreolus/779848993.mp3
15834,779844793,http://www.tierstimmenarchiv.de/recordings/Aegithalos_caudatus_PF00110_short.mp3,Aegithalos caudatus,Aegithalos,Aegithalidae,Aves,Chordata,Chordata/Aves/Aegithalidae/Aegithalos/Aegithalos_caudatus/779844793.mp3
14305,779847781,http://www.tierstimmenarchiv.de/recordings/Ceratogymna_brevis_V2135_08_short.mp3,Bycanistes brevis,Bycanistes,Bucerotidae,Aves,Chordata,Chordata/Aves/Bucerotidae/Bycanistes/Bycanistes_brevis/779847781.mp3
15027,779846329,http://www.tierstimmenarchiv.de/recordings/Anthus_trivialis_Co0091_05_short.mp3,Anthus trivialis,Anthus,Motacillidae,Aves,Chordata,Chordata/Aves/Motacillidae/Anthus/Anthus_trivialis/779846329.mp3
12323,779853388,http://www.tierstimmenarchiv.de/recordings/Emberiza_citrinella_CoMC0005_05_short.mp3,Emberiza citrinella,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_citrinella/779853388.mp3
12048,779853734,http://www.tierstimmenarchiv.de/recordings/Emberiza_hortulana_Co0013_04_short.mp3,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853734.mp3
10481,779856923,http://www.tierstimmenarchiv.de/recordings/Sturnus_contra_V2124_04_short.mp3,Gracupica contra,Gracupica,Sturnidae,Aves,Chordata,Chordata/Aves/Sturnidae/Gracupica/Gracupica_contra/779856923.mp3
