gbifID,species,genus,family,class,phylum,file_name
1451081537,Cuculus canorus,Cuculus,Cuculidae,Aves,Chordata,Chordata/Aves/Cuculidae/Cuculus/Cuculus_canorus/1451081537.mp3
779846301,Anthus trivialis,Anthus,Motacillidae,Aves,Chordata,Chordata/Aves/Motacillidae/Anthus/Anthus_trivialis/779846301.mp3
1229953733,Lybius bidentatus,Lybius,Lybiidae,Aves,Chordata,Chordata/Aves/Lybiidae/Lybius/Lybius_bidentatus/1229953733.mp3
893453814,Buteo buteo,Buteo,Accipitridae,Aves,Chordata,Chordata/Aves/Accipitridae/Buteo/Buteo_buteo/893453814.mp3
779868986,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/779868986.mp3
893395254,Acrocephalus arundinaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_arundinaceus/893395254.mp3
1249267999,Acrocephalus baeticatus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_baeticatus/1249267999.mp3
1229954336,Seleucidis melanoleucus,Seleucidis,Paradisaeidae,Aves,Chordata,Chordata/Aves/Paradisaeidae/Seleucidis/Seleucidis_melanoleucus/1229954336.mp3
779856098,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779856098.mp3
779858996,Luscinia megarhynchos,Luscinia,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Luscinia/Luscinia_megarhynchos/779858996.mp3
1451081501,Cuculus canorus,Cuculus,Cuculidae,Aves,Chordata,Chordata/Aves/Cuculidae/Cuculus/Cuculus_canorus/1451081501.mp3
779863219,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_collybita/779863219.mp3
1451081523,Cuculus canorus,Cuculus,Cuculidae,Aves,Chordata,Chordata/Aves/Cuculidae/Cuculus/Cuculus_canorus/1451081523.mp3
779853731,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853731.mp3
779847976,Camelus dromedarius,Camelus,Camelidae,Mammalia,Chordata,Chordata/Mammalia/Camelidae/Camelus/Camelus_dromedarius/779847976.mp3
893491491,Sylvia communis,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_communis/893491491.mp3
779868945,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/779868945.mp3
779864003,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779864003.mp3
1052810498,Luscinia megarhynchos,Luscinia,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Luscinia/Luscinia_megarhynchos/1052810498.mp3
1143514992,Larosterna inca,Larosterna,Laridae,Aves,Chordata,Chordata/Aves/Laridae/Larosterna/Larosterna_inca/1143514992.mp3
779849859,Charmosyna papou,Charmosyna,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Charmosyna/Charmosyna_papou/779849859.mp3
1142105490,Psophia leucoptera,Psophia,Psophiidae,Aves,Chordata,Chordata/Aves/Psophiidae/Psophia/Psophia_leucoptera/1142105490.mp3
779867415,Syncerus caffer,Syncerus,Bovidae,Mammalia,Chordata,Chordata/Mammalia/Bovidae/Syncerus/Syncerus_caffer/779867415.mp3
1229650152,Bubo scandiacus,Bubo,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Bubo/Bubo_scandiacus/1229650152.mp3
1052811761,Phoenicurus ochruros,Phoenicurus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Phoenicurus/Phoenicurus_ochruros/1052811761.mp3
779853119,Elaphurus davidianus,Elaphurus,Cervidae,Mammalia,Chordata,Chordata/Mammalia/Cervidae/Elaphurus/Elaphurus_davidianus/779853119.mp3
1229950764,Anas smithii,Anas,Anatidae,Aves,Chordata,Chordata/Aves/Anatidae/Anas/Anas_smithii/1229950764.mp3
779854684,Falco subbuteo,Falco,Falconidae,Aves,Chordata,Chordata/Aves/Falconidae/Falco/Falco_subbuteo/779854684.mp3
779846779,Asio otus,Asio,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Asio/Asio_otus/779846779.mp3
779868513,Turdus iliacus,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_iliacus/779868513.mp3
1052811493,Parus major,Parus,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Parus/Parus_major/1052811493.mp3
779849233,Carduelis carduelis,Carduelis,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Carduelis/Carduelis_carduelis/779849233.mp3
893491504,Symphalangus syndactylus,Symphalangus,Hylobatidae,Mammalia,Chordata,Chordata/Mammalia/Hylobatidae/Symphalangus/Symphalangus_syndactylus/893491504.mp3
779863208,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_collybita/779863208.mp3
991931354,Oenanthe hispanica,Oenanthe,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Oenanthe/Oenanthe_hispanica/991931354.mp3
779868629,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/779868629.mp3
779865774,Rhyticeros undulatus,Rhyticeros,Bucerotidae,Aves,Chordata,Chordata/Aves/Bucerotidae/Rhyticeros/Rhyticeros_undulatus/779865774.mp3
779863887,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863887.mp3
1052811404,Parus major,Parus,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Parus/Parus_major/1052811404.mp3
779855639,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855639.mp3
779854610,Eudyptes chrysocome,Eudyptes,Spheniscidae,Aves,Chordata,Chordata/Aves/Spheniscidae/Eudyptes/Eudyptes_chrysocome/779854610.mp3
779853659,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853659.mp3
779847202,Botaurus stellaris,Botaurus,Ardeidae,Aves,Chordata,Chordata/Aves/Ardeidae/Botaurus/Botaurus_stellaris/779847202.mp3
779851569,Corvus corax,Corvus,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Corvus/Corvus_corax/779851569.mp3
1229954176,Phasianus colchicus,Phasianus,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Phasianus/Phasianus_colchicus/1229954176.mp3
779860881,Otus scops,Otus,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Otus/Otus_scops/779860881.mp3
779861289,Panthera leo,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_leo/779861289.mp3
779869085,Turdus viscivorus,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_viscivorus/779869085.mp3
1143514423,Agapornis roseicollis,Agapornis,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Agapornis/Agapornis_roseicollis/1143514423.mp3
1249268985,Ficedula parva,Ficedula,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Ficedula/Ficedula_parva/1249268985.mp3
1052812306,Prunella modularis,Prunella,Prunellidae,Aves,Chordata,Chordata/Aves/Prunellidae/Prunella/Prunella_modularis/1052812306.mp3
779863678,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863678.mp3
1249269230,Luscinia svecica,Luscinia,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Luscinia/Luscinia_svecica/1249269230.mp3
779864095,Picus viridis,Picus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Picus/Picus_viridis/779864095.mp3
1229954418,Threskiornis spinicollis,Threskiornis,Threskiornithidae,Aves,Chordata,Chordata/Aves/Threskiornithidae/Threskiornis/Threskiornis_spinicollis/1229954418.mp3
779864262,Poecile montanus,Poecile,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Poecile/Poecile_montanus/779864262.mp3
779846554,Ara chloropterus,Ara,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Ara/Ara_chloropterus/779846554.mp3
1142105089,Gallinula chloropus,Gallinula,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Gallinula/Gallinula_chloropus/1142105089.mp3
779851774,Crex crex,Crex,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Crex/Crex_crex/779851774.mp3
779851760,Crax fasciolata,Crax,Cracidae,Aves,Chordata,Chordata/Aves/Cracidae/Crax/Crax_fasciolata/779851760.mp3
779867105,Sylvia borin,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_borin/779867105.mp3
779858515,Limosa limosa,Limosa,Scolopacidae,Aves,Chordata,Chordata/Aves/Scolopacidae/Limosa/Limosa_limosa/779858515.mp3
779844735,Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_scirpaceus/779844735.mp3
779864349,Podiceps grisegena,Podiceps,Podicipedidae,Aves,Chordata,Chordata/Aves/Podicipedidae/Podiceps/Podiceps_grisegena/779864349.mp3
1482861355,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1482861355.mp3
779863037,Pholidoptera griseoaptera,Pholidoptera,Tettigoniidae,Insecta,Arthropoda,Arthropoda/Insecta/Tettigoniidae/Pholidoptera/Pholidoptera_griseoaptera/779863037.mp3
779854412,Erinaceus europaeus,Erinaceus,Erinaceidae,Mammalia,Chordata,Chordata/Mammalia/Erinaceidae/Erinaceus/Erinaceus_europaeus/779854412.mp3
1142105086,Gallinula chloropus,Gallinula,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Gallinula/Gallinula_chloropus/1142105086.mp3
1230246812,Prunella modularis,Prunella,Prunellidae,Aves,Chordata,Chordata/Aves/Prunellidae/Prunella/Prunella_modularis/1230246812.mp3
779856079,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779856079.mp3
779863907,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Aves,Chordata,Chordata/Aves/Phylloscopidae/Phylloscopus/Phylloscopus_trochilus/779863907.mp3
1269848108,Charadrius dubius,Charadrius,Charadriidae,Aves,Chordata,Chordata/Aves/Charadriidae/Charadrius/Charadrius_dubius/1269848108.mp3
779857163,Gymnorhina tibicen,Gymnorhina,Cracticidae,Aves,Chordata,Chordata/Aves/Cracticidae/Gymnorhina/Gymnorhina_tibicen/779857163.mp3
1228010194,Strix nebulosa,Strix,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Strix/Strix_nebulosa/1228010194.mp3
779866503,Strix aluco,Strix,Strigidae,Aves,Chordata,Chordata/Aves/Strigidae/Strix/Strix_aluco/779866503.mp3
779865230,Rallus aquaticus,Rallus,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Rallus/Rallus_aquaticus/779865230.mp3
779854562,Erithacus rubecula,Erithacus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Erithacus/Erithacus_rubecula/779854562.mp3
779864064,Picus canus,Picus,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Picus/Picus_canus/779864064.mp3
779856034,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779856034.mp3
779865916,Saxicola rubetra,Saxicola,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Saxicola/Saxicola_rubetra/779865916.mp3
779856304,Galerida cristata,Galerida,Alaudidae,Aves,Chordata,Chordata/Aves/Alaudidae/Galerida/Galerida_cristata/779856304.mp3
1421200418,Sylvia borin,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_borin/1421200418.mp3
1052813784,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1052813784.mp3
1052806001,Cyanistes caeruleus,Cyanistes,Paridae,Aves,Chordata,Chordata/Aves/Paridae/Cyanistes/Cyanistes_caeruleus/1052806001.mp3
1229950724,Alectoris barbara,Alectoris,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Alectoris/Alectoris_barbara/1229950724.mp3
779853470,Emberiza citrinella,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_citrinella/779853470.mp3
779855622,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855622.mp3
1249269443,Sylvia melanocephala,Sylvia,Sylviidae,Aves,Chordata,Chordata/Aves/Sylviidae/Sylvia/Sylvia_melanocephala/1249269443.mp3
1229954272,Procnias nudicollis,Procnias,Cotingidae,Aves,Chordata,Chordata/Aves/Cotingidae/Procnias/Procnias_nudicollis/1229954272.mp3
1229953094,Cyanocorax luxuosus,Cyanocorax,Corvidae,Aves,Chordata,Chordata/Aves/Corvidae/Cyanocorax/Cyanocorax_luxuosus/1229953094.mp3
1062492712,Alectoris rufa,Alectoris,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Alectoris/Alectoris_rufa/1062492712.mp3
1269848175,Plectrophenax nivalis,Plectrophenax,Calcariidae,Aves,Chordata,Chordata/Aves/Calcariidae/Plectrophenax/Plectrophenax_nivalis/1269848175.mp3
779853723,Emberiza hortulana,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_hortulana/779853723.mp3
779849993,Chloris chloris,Chloris,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Chloris/Chloris_chloris/779849993.mp3
779852665,Dendrocopos major,Dendrocopos,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dendrocopos/Dendrocopos_major/779852665.mp3
1143567651,Turdus philomelos,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_philomelos/1143567651.mp3
1143514518,Aratinga solstitialis,Aratinga,Psittacidae,Aves,Chordata,Chordata/Aves/Psittacidae/Aratinga/Aratinga_solstitialis/1143514518.mp3
1229954444,Tragopan blythii,Tragopan,Phasianidae,Aves,Chordata,Chordata/Aves/Phasianidae/Tragopan/Tragopan_blythii/1229954444.mp3
779868519,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/779868519.mp3
779844677,Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_scirpaceus/779844677.mp3
779844378,Acrocephalus arundinaceus,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_arundinaceus/779844378.mp3
779859973,Motacilla flava,Motacilla,Motacillidae,Aves,Chordata,Chordata/Aves/Motacillidae/Motacilla/Motacilla_flava/779859973.mp3
779847985,Camelus dromedarius,Camelus,Camelidae,Mammalia,Chordata,Chordata/Mammalia/Camelidae/Camelus/Camelus_dromedarius/779847985.mp3
779847004,Bison bonasus,Bison,Bovidae,Mammalia,Chordata,Chordata/Mammalia/Bovidae/Bison/Bison_bonasus/779847004.mp3
779855317,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855317.mp3
893490409,Porzana porzana,Porzana,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Porzana/Porzana_porzana/893490409.mp3
779848835,Canis lupus,Canis,Canidae,Mammalia,Chordata,Chordata/Mammalia/Canidae/Canis/Canis_lupus/779848835.mp3
779854490,Erithacus rubecula,Erithacus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Erithacus/Erithacus_rubecula/779854490.mp3
779861861,Panurus biarmicus,Panurus,Panuridae,Aves,Chordata,Chordata/Aves/Panuridae/Panurus/Panurus_biarmicus/779861861.mp3
779859490,Martes foina,Martes,Mustelidae,Mammalia,Chordata,Chordata/Mammalia/Mustelidae/Martes/Martes_foina/779859490.mp3
779866218,Sorex araneus,Sorex,Soricidae,Mammalia,Chordata,Chordata/Mammalia/Soricidae/Sorex/Sorex_araneus/779866218.mp3
1052806644,Erithacus rubecula,Erithacus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Erithacus/Erithacus_rubecula/1052806644.mp3
779855667,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855667.mp3
779860064,Mycteria ibis,Mycteria,Ciconiidae,Aves,Chordata,Chordata/Aves/Ciconiidae/Mycteria/Mycteria_ibis/779860064.mp3
779855608,Fringilla coelebs,Fringilla,Fringillidae,Aves,Chordata,Chordata/Aves/Fringillidae/Fringilla/Fringilla_coelebs/779855608.mp3
779861613,Panthera pardus,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_pardus/779861613.mp3
893491653,Vanellus chilensis,Vanellus,Charadriidae,Aves,Chordata,Chordata/Aves/Charadriidae/Vanellus/Vanellus_chilensis/893491653.mp3
1249269485,Turdus merula,Turdus,Turdidae,Aves,Chordata,Chordata/Aves/Turdidae/Turdus/Turdus_merula/1249269485.mp3
779861728,Panthera tigris,Panthera,Felidae,Mammalia,Chordata,Chordata/Mammalia/Felidae/Panthera/Panthera_tigris/779861728.mp3
779856222,Fulica atra,Fulica,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Fulica/Fulica_atra/779856222.mp3
779856186,Fulica atra,Fulica,Rallidae,Aves,Chordata,Chordata/Aves/Rallidae/Fulica/Fulica_atra/779856186.mp3
779854109,Emberiza schoeniclus,Emberiza,Emberizidae,Aves,Chordata,Chordata/Aves/Emberizidae/Emberiza/Emberiza_schoeniclus/779854109.mp3
1098951361,Acrocephalus palustris,Acrocephalus,Acrocephalidae,Aves,Chordata,Chordata/Aves/Acrocephalidae/Acrocephalus/Acrocephalus_palustris/1098951361.mp3
779862927,Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Phoenicurus/Phoenicurus_phoenicurus/779862927.mp3
779858989,Luscinia megarhynchos,Luscinia,Muscicapidae,Aves,Chordata,Chordata/Aves/Muscicapidae/Luscinia/Luscinia_megarhynchos/779858989.mp3
1229953205,Dendrocopos major,Dendrocopos,Picidae,Aves,Chordata,Chordata/Aves/Picidae/Dendrocopos/Dendrocopos_major/1229953205.mp3
